epoch,epoch_train_loss,epoch_train_iou,epoch_train_dice,epoch_val_loss,epoch_val_iou,epoch_val_dice
0,0.5683,0.311,0.4508,0.4058,0.4085,0.5581
1,0.3714,0.4401,0.5968,0.297,0.5335,0.6837
2,0.2592,0.5595,0.6988,0.2641,0.5977,0.7469
3,0.2183,0.6178,0.759,0.2055,0.6481,0.775
4,0.189,0.6479,0.7793,0.2053,0.6465,0.7663
5,0.1686,0.6804,0.8122,0.1883,0.6789,0.802
6,0.1502,0.6953,0.8188,0.1895,0.6694,0.786
7,0.1356,0.7217,0.8399,0.1684,0.6984,0.8095
8,0.1434,0.711,0.8237,0.1998,0.6779,0.7921
9,0.1221,0.7429,0.8608,0.1814,0.6934,0.7991
10,0.1218,0.7487,0.8682,0.1624,0.7029,0.8075
11,0.1212,0.7482,0.8638,0.1664,0.6956,0.8038
12,0.1103,0.7671,0.8808,0.1589,0.7095,0.8187
13,0.0988,0.7839,0.9009,0.1728,0.6958,0.8158
14,0.0946,0.7944,0.9123,0.1587,0.7039,0.8103
15,0.1042,0.7824,0.8965,0.167,0.6982,0.8094
16,0.095,0.7812,0.8972,0.1513,0.7229,0.8295
17,0.0943,0.7985,0.9144,0.1606,0.7161,0.8147
18,0.0838,0.8143,0.931,0.1552,0.7262,0.8386
19,0.093,0.806,0.9208,0.1653,0.7104,0.8281
20,0.1236,0.7722,0.8916,0.1517,0.7271,0.827
21,0.0874,0.7999,0.9081,0.1513,0.7376,0.8485
22,0.0829,0.8236,0.9414,0.1593,0.7119,0.8327
23,0.0776,0.8289,0.9437,0.1499,0.7252,0.8134
24,0.0727,0.8388,0.9514,0.1477,0.7318,0.8283
25,0.0725,0.8406,0.9535,0.15,0.7326,0.8341
26,0.0725,0.8368,0.9496,0.1512,0.7239,0.8199
27,0.0675,0.8534,0.9698,0.1508,0.7356,0.8301
28,0.08,0.8327,0.936,0.1472,0.7333,0.828
29,0.066,0.8558,0.9844,0.1472,0.7353,0.8296
30,0.0644,0.8516,0.9596,0.1482,0.7421,0.8432
31,0.066,0.8561,0.9674,0.151,0.7277,0.8244
32,0.0645,0.854,0.9763,0.1501,0.7365,0.8344
33,0.062,0.8655,0.9773,0.1472,0.7409,0.8386
34,0.0642,0.8567,0.9669,0.1709,0.7153,0.8214
35,0.066,0.853,0.9674,0.1526,0.7395,0.8342
36,0.0675,0.8563,0.9792,0.1681,0.7173,0.8343
37,0.0793,0.8217,0.9322,0.1513,0.7313,0.8202
38,0.0655,0.8561,0.9664,0.1497,0.7428,0.843
39,0.0582,0.8646,0.9718,0.1485,0.7423,0.8433
40,0.0594,0.8724,0.984,0.1531,0.7377,0.835
41,0.0577,0.8714,0.979,0.1533,0.7456,0.8423
42,0.0564,0.8733,0.9797,0.1486,0.7417,0.8388
